10000 15000
0 7768 2924
1 9012 5946
2 5985 1217
3 9332 4905
4 9068 5249
5 5163 9177
6 9039 3467
7 4891 9963
8 6663 6888
9 6488 1495
10 121 2872
11 8268 3499
12 1290 7648
13 952 2657
14 3184 4189
15 6387 2463
16 701 8754
17 7939 1146
18 4703 2146
19 8459 5263
20 2523 8440
21 6580 2514
22 4574 1781
23 3751 1740
24 8992 620
25 9192 4400
26 4843 475
27 7926 3929
28 3900 5210
29 449 7681
30 8659 3217
31 9153 2980
32 8217 5004
33 5298 2703
34 667 9770
35 322 1394
36 2176 2424
37 2402 5237
38 4178 9156
39 6200 2859
40 248 4115
41 8253 2285
42 7211 9948
43 3210 8716
44 2348 8266
45 9851 6811
46 6205 3679
47 5828 2984
48 8478 4487
49 9898 9847
50 8913 1037
51 8501 1453
52 1752 6043
53 3604 8319
54 8747 9061
55 8579 4951
56 9960 5580
57 4801 608
58 5574 4594
59 2477 2187
60 645 1492
61 6651 6437
62 1230 9421
63 3590 3276
64 3876 2566
65 335 3741
66 7080 8396
67 4314 2269
68 8673 7774
69 8622 3342
70 472 9929
71 3465 5025
72 1797 4381
73 5694 1119
74 790 2532
75 481 6036
76 722 4826
77 4533 4827
78 8355 944
79 3185 2362
80 3308 6333
81 4239 662
82 9432 4716
83 9680 9753
84 3465 4579
85 3872 674
86 95 9852
87 8164 5883
88 1711 2479
89 3132 9312
90 8730 3057
91 2640 896
92 7824 7500
93 9944 5818
94 5658 4923
95 6448 5800
96 8943 8719
97 9188 2307
98 6158 6981
99 6030 9601
100 1629 2958
101 970 3143
102 5374 9820
103 7216 6919
104 1647 1836
105 9572 8900
106 6880 6956
107 8698 7268
108 1715 3809
109 4162 3990
110 6331 6736
111 6535 3513
112 215 7618
113 2665 4167
114 1830 6604
115 6933 5557
116 593 2070
117 1339 870
118 7486 4973
119 7312 5809
120 3717 1453
121 3309 4061
122 2077 1551
123 3735 6868
124 9958 4986
125 2252 3237
126 1074 3216
127 1498 3080
128 2521 566
129 1165 1598
130 5667 5083
131 9457 6771
132 5138 2571
133 4061 8487
134 7156 4107
135 7022 2877
136 9661 8239
137 4692 7527
138 1659 1184
139 8612 2725
140 8859 5741
141 6210 8010
142 7197 2083
143 7981 9257
144 4154 992
145 7008 880
146 2369 7849
147 7651 2925
148 5880 9304
149 4308 5320
150 4562 7240
151 3142 9008
152 6105 6619
153 3212 4035
154 8414 113
155 1337 9670
156 8907 7130
157 420 8697
158 3050 3848
159 1558 5830
160 2694 1153
161 4417 400
162 9512 776
163 1670 1235
164 6015 635
165 4449 9865
166 4411 5811
167 2357 9012
168 9485 8556
169 5910 8470
170 6405 7966
171 9064 9206
172 3699 4207
173 8785 4608
174 8210 5552
175 3591 9553
176 4251 8211
177 2453 5567
178 8905 6617
179 2649 1399
180 1117 7376
181 7758 845
182 3278 4830
183 3239 7976
184 2360 7703
185 7482 1297
186 1813 3113
187 9690 8345
188 2610 1820
189 9668 7813
190 1340 1882
191 250 275
192 4454 5395
193 9978 1323
194 9125 8628
195 560 835
196 263 3718
197 5148 630
198 9384 2668
199 2194 6343
200 5851 5818
201 8221 7696
202 2745 6618
203 7365 5829
204 1811 3933
205 2470 8727
206 7613 3744
207 2142 5189
208 5306 7482
209 5130 358
210 3874 9408
211 3950 3381
212 7565 8892
213 5240 1181
214 9046 1579
215 1262 2529
216 3856 6691
217 5316 7492
218 8292 8575
219 7845 3513
220 7668 7647
221 4739 9449
222 7379 277
223 3426 5896
224 9208 3596
225 963 7030
226 2618 6980
227 2053 416
228 3533 1063
229 7550 415
230 3682 4348
231 6889 8754
232 2156 7104
233 4043 8869
234 1302 9497
235 8153 5687
236 2436 2033
237 1205 5922
238 3053 972
239 4951 3444
240 9460 898
241 9422 2982
242 3543 1210
243 1075 6489
244 744 4811
245 1600 2994
246 8790 9234
247 370 523
248 3430 7984
249 3039 436
250 5496 6459
251 6008 3303
252 2412 2980
253 4438 2478
254 2158 3098
255 9365 3418
256 5021 5564
257 8900 5318
258 7901 7002
259 5244 2717
260 1134 7793
261 5611 4054
262 3151 8953
263 8018 6356
264 7902 4227
265 4219 6267
266 6227 9123
267 5531 6535
268 7178 3276
269 8077 827
270 2444 9091
271 8946 8059
272 1328 9793
273 1318 5479
274 4745 7694
275 9963 1322
276 6270 4216
277 4837 7579
278 9849 5611
279 7428 663
280 5035 3129
281 1442 8302
282 5316 580
283 9921 7014
284 5607 8508
285 745 9025
286 9589 8396
287 8913 2435
288 368 4179
289 1137 6308
290 582 7667
291 2211 2385
292 3558 1713
293 5440 5769
294 7824 2648
295 2865 4210
296 473 7894
297 4917 8864
298 9425 2118
299 5634 1442
300 2027 762
301 5507 6768
302 6683 4367
303 1755 6553
304 4392 905
305 1396 5434
306 2163 7471
307 7464 9067
308 8476 8537
309 4700 9084
310 3174 7534
311 432 3933
312 2061 19
313 9478 5400
314 7034 2747
315 891 8148
316 8398 896
317 2182 2782
318 2731 5532
319 919 6496
320 5472 6671
321 635 3209
322 339 4350
323 5240 6982
324 812 4063
325 8073 7728
326 8921 4187
327 1215 5471
328 389 5369
329 6164 7082
330 2003 3338
331 5650 3960
332 6754 9250
333 5058 1490
334 8528 9859
335 8524 113
336 5942 1576
337 7547 5394
338 394 4805
339 5265 1106
340 6651 6640
341 1334 2573
342 9495 5881
343 1778 329
344 1012 3644
345 8171 2920
346 8968 1363
347 9964 7713
348 6391 6411
349 7494 190
350 4980 6517
351 4283 4774
352 3784 3483
353 3296 5813
354 6913 2294
355 6444 3765
356 1222 2541
357 9299 5828
358 8950 5764
359 1774 4755
360 1475 6922
361 4861 7148
362 9593 970
363 3485 9859
364 706 7182
365 1413 6425
366 3286 4042
367 1689 5950
368 3687 3505
369 5398 7172
370 5610 8006
371 2933 6515
372 2853 7776
373 5615 1565
374 5777 9823
375 5025 4975
376 2586 8775
377 7131 9329
378 2491 9422
379 3864 2399
380 3487 6291
381 8358 9791
382 9856 3878
383 2669 3788
384 9511 1307
385 5308 4059
386 4603 7921
387 8731 951
388 645 830
389 2551 234
390 4235 5120
391 5263 823
392 8838 3614
393 2677 3511
394 1750 6757
395 5548 2402
396 644 1782
397 5257 3433
398 8408 5717
399 9539 8471
400 6047 6608
401 5927 345
402 639 4597
403 7611 9138
404 5549 2885
405 9763 1609
406 8111 9457
407 4047 4156
408 1796 8066
409 3533 745
410 1812 4669
411 2691 5498
412 2674 8252
413 7493 3683
414 2425 8773
415 9043 2745
416 4215 1068
